"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","ERROR=4 check","","0","0","12","4","0"
"","GOOD check","remainder","0","0","8","0","0"
"","GOOD check","division","0","0","8","0","0"
"","GOOD check","multiplication","0","0","10","0","0"
"","CLI check","","0","0","8","0","0"
"","ERROR=2 check","","0","0","16","0","0"
"","ERROR=3 check","","0","0","24","0","0"
"","Smoke tests","","0","0","3","0","0"
"","ERROR=5 check","","0","0","10","0","0"
"","GOOD check","addition","0","0","8","0","0"
"","ERROR=1 check","","0","0","0","2","0"
